name,behave,evaluation,number,cond,situation,reason,propose,ending,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,key_resp.started,key_resp.keys,key_resp.rt,back.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,predictp.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,predictp_2.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text.started,predictp_3.started,slider.started,text_2.started,text_3.started,text_4.started,slider.response,slider.rt,text_5.started,text_5.stopped,key_resp_6.started,key_resp_6.stopped,key_resp_6.keys,text.stopped,key_resp_6.rt,participant,session,randomization,date,expName,psychopyVersion,frameRate,
杨诺,杨诺把火腿加进了朋友的面里。她的朋友,杨诺把火腿加进朋友面里这种行为是：,20,badPhappyE,materials/situations/20.PNG,materials/happyreason/20.PNG,materials/badpropose/20.PNG,materials/happyending/20.PNG,0,21,21,21,,,,,268.48045880000063,268.48045880000063,space,1.3328230000006442,269.8352140999996,269.8352140999996,space,0.6183295999981056,270.4675787999986,270.4675787999986,space,0.9126367000026221,271.3960847999988,274.39763400000083,276.7025007000011,276.7025007000011,276.7025007000011,276.7025007000011,2.0416666666666665,1.3498910999987856,278.05396100000144,278.05396100000144,278.05396100000144,278.05396100000144,None,,,550583,1,-1,2023-01-10_18h22.35.699,Moral_Emotion_Task,2022.2.4,164.02611951885342,
乔南,乔南点燃熏香。毒气充斥着整座房屋，把害虫都杀光了。邻居的妈妈,乔南点燃熏香这种行为：,35,badPhappyE,materials/situations/35.PNG,materials/happyreason/35.PNG,materials/badpropose/35.PNG,materials/happyending/35.PNG,0,22,22,22,,,,,278.05396100000144,278.05396100000144,space,1.3993596000000252,279.47027380000145,279.47027380000145,space,1.1708312000009755,280.65530339999896,280.65530339999896,None,,282.9513388999985,285.9606483999996,288.25971840000057,288.25971840000057,288.25971840000057,288.25971840000057,1.7864583333333335,1.5708884000014223,289.8401191000012,289.8401191000012,289.8401191000012,289.8401191000012,None,,,550583,1,-1,2023-01-10_18h22.35.699,Moral_Emotion_Task,2022.2.4,164.02611951885342,
李贝,李贝把这些肉给孩子们吃。孩子们,李贝把这些肉给孩子们吃这种行为是：,14,badPhappyE,materials/situations/14.PNG,materials/happyreason/14.PNG,materials/badpropose/14.PNG,materials/happyending/14.PNG,0,23,23,23,,,,,289.8401191000012,289.8401191000012,space,0.9727310999987822,290.8346354999994,290.8346354999994,space,0.8088078999971913,291.66069069999867,291.66069069999867,space,1.8164503000007244,293.4849901000016,296.5004749,298.7921387999995,298.7921387999995,298.7921387999995,298.7921387999995,2.546875,2.203528899997764,301.00426629999856,301.00426629999856,301.00426629999856,301.00426629999856,None,,,550583,1,-1,2023-01-10_18h22.35.699,Moral_Emotion_Task,2022.2.4,164.02611951885342,
徐雷,徐雷让女朋友过桥。徐雷的女朋友,徐雷让女朋友过桥这种行为是：,4,goodPsadE,materials/situations/4.PNG,materials/sadreason/4.PNG,materials/goodpropose/4.PNG,materials/sadending/4.PNG,0,24,24,24,,,,,301.00426629999856,301.00426629999856,space,1.787023799999588,302.80404780000026,302.80404780000026,space,0.7844145999988541,303.6059548999983,303.6059548999983,space,0.5599920000022394,304.17852610000045,307.18396479999865,309.48517039999933,309.48517039999933,309.48517039999933,309.48517039999933,2.125,4.722715899999457,314.2141034999986,314.2141034999986,314.2141034999986,314.2141034999986,None,,,550583,1,-1,2023-01-10_18h22.35.699,Moral_Emotion_Task,2022.2.4,164.02611951885342,
胡梅,胡梅把新降落伞给顾客。顾客使用这把降落伞时,胡梅把新降落伞给顾客这种行为：,38,badPsadE,materials/situations/38.PNG,materials/sadreason/38.PNG,materials/badpropose/38.PNG,materials/sadending/38.PNG,0,25,25,25,,,,,314.2141034999986,314.2141034999986,space,2.504982399997971,316.7370513999995,316.7370513999995,space,0.938858400000754,317.68933910000123,317.68933910000123,None,,319.98738700000104,322.99125130000175,325.2946515000003,325.2946515000003,325.2946515000003,325.2946515000003,1,3.633275500000309,328.9444565999984,328.9444565999984,328.9444565999984,328.9444565999984,None,,,550583,1,-1,2023-01-10_18h22.35.699,Moral_Emotion_Task,2022.2.4,164.02611951885342,
左兰,左兰告诉助理不用佩戴防护装置。她的助理在小岛,左兰告诉助理不用戴防护装置这种行为：,34,goodPhappyE,materials/situations/34.PNG,materials/happyreason/34.PNG,materials/goodpropose/34.PNG,materials/happyending/34.PNG,0,26,26,26,,,,,328.9444565999984,328.9444565999984,space,1.7898277000022063,330.7547928999993,330.7547928999993,space,0.684872699999687,331.45610020000095,331.45610020000095,space,0.889834300000075,332.37062700000024,335.3711495999996,337.6755372000007,337.6755372000007,337.6755372000007,337.6755372000007,3.046875,0.9092134000020451,338.5807167999992,338.5807167999992,338.5807167999992,338.5807167999992,None,,,550583,1,-1,2023-01-10_18h22.35.699,Moral_Emotion_Task,2022.2.4,164.02611951885342,
唐静,唐静让妹妹在桌边玩。唐静的妹妹,唐静让妹妹在桌边玩这种行为是：,13,goodPhappyE,materials/situations/13.PNG,materials/happyreason/13.PNG,materials/goodpropose/13.PNG,materials/happyending/13.PNG,0,27,27,27,,,,,338.5807167999992,338.5807167999992,space,1.209717300000193,339.8031556999995,339.8031556999995,space,0.7021815000007336,340.5184971999988,340.5184971999988,space,0.6182883000001311,341.143489099999,344.1473509999996,346.45291,346.45291,346.45291,346.45291,6.005208333333333,1.2004180999974778,347.6610330000003,347.6610330000003,347.6610330000003,347.6610330000003,None,344.1473509999996,,550583,1,-1,2023-01-10_18h22.35.699,Moral_Emotion_Task,2022.2.4,164.02611951885342,
王丽,王丽戴橡胶手套检查病人。病人,王丽戴橡胶手套检查病人这种行为是：,7,badPhappyE,materials/situations/7.PNG,materials/happyreason/7.PNG,materials/badpropose/7.PNG,materials/happyending/7.PNG,0,28,28,28,,,,,347.6610330000003,347.6610330000003,space,1.7423778000011225,349.42173529999855,349.42173529999855,space,0.5569959999993443,349.99712290000025,349.99712290000025,space,0.47725370000262046,350.4977964999998,353.4978875000015,355.79772460000095,355.79772460000095,355.79772460000095,355.79772460000095,2.286458333333333,1.0300294000007852,356.83438340000066,356.83438340000066,356.83438340000066,356.83438340000066,None,,,550583,1,-1,2023-01-10_18h22.35.699,Moral_Emotion_Task,2022.2.4,164.02611951885342,
李浩,李浩不理会侄子胃疼。他的侄子很快就,李浩不理会侄子胃疼这种行为：,31,badPhappyE,materials/situations/31.PNG,materials/happyreason/31.PNG,materials/badpropose/31.PNG,materials/happyending/31.PNG,0,29,29,29,,,,,356.83438340000066,356.83438340000066,space,1.2677532000016072,358.1188919000015,358.1188919000015,space,1.8726534999987052,360.0094734999984,360.0094734999984,space,1.4837604999993346,361.51706209999975,364.51713329999984,366.812601900001,366.812601900001,366.812601900001,366.812601900001,2.640625,1.126293799999985,367.9439267000016,367.9439267000016,367.9439267000016,367.9439267000016,None,,,550583,1,-1,2023-01-10_18h22.35.699,Moral_Emotion_Task,2022.2.4,164.02611951885342,
陈杰,陈杰离开家去见朋友。警报一直在响，房屋,陈杰离开家去见朋友这种行为：,29,badPhappyE,materials/situations/29.PNG,materials/happyreason/29.PNG,materials/badpropose/29.PNG,materials/happyending/29.PNG,0,30,30,30,,,,,367.9439267000016,367.9439267000016,space,2.6016955000013695,370.5667367999995,370.5667367999995,space,1.4091823999988264,371.99082070000077,371.99082070000077,None,,374.3001938000016,377.2931949999984,379.59828149999885,379.59828149999885,379.59828149999885,379.59828149999885,3.411458333333333,5.540770399999019,385.14664809999886,385.14664809999886,385.14664809999886,385.14664809999886,None,,,550583,1,-1,2023-01-10_18h22.35.699,Moral_Emotion_Task,2022.2.4,164.02611951885342,
林蕾,林蕾把粉末放进朋友咖啡里。林蕾的朋友喝完咖啡后,林蕾把粉末放进朋友咖啡里这种行为：,1,badPsadE,materials/situations/1.PNG,materials/sadreason/1.PNG,materials/badpropose/1.PNG,materials/sadending/1.PNG,0,31,31,31,,,,,385.14664809999886,385.14664809999886,space,1.561156799998571,386.7304038000002,386.7304038000002,space,0.9725079999989248,387.71821609999824,387.71821609999824,space,1.2027726999986044,388.93220479999945,391.9455252000007,394.2397224000015,394.2397224000015,394.2397224000015,394.2397224000015,1,0.7812926999977208,395.0278937000003,395.0278937000003,395.0278937000003,395.0278937000003,None,,,550583,1,-1,2023-01-10_18h22.35.699,Moral_Emotion_Task,2022.2.4,164.02611951885342,
马超,马超继续读着报纸。孩子,马超继续读着报纸这种行为：,44,badPhappyE,materials/situations/44.PNG,materials/happyreason/44.PNG,materials/badpropose/44.PNG,materials/happyending/44.PNG,0,32,32,32,,,,,395.0278937000003,395.0278937000003,space,0.9194628999975976,395.95967139999993,395.95967139999993,space,3.6427966999981436,399.61477789999844,399.61477789999844,None,,401.91579439999987,404.91599249999854,407.22388259999934,407.22388259999934,407.22388259999934,407.22388259999934,2.4895833333333335,0.9558154000005743,408.18406790000154,408.18406790000154,408.18406790000154,408.18406790000154,None,,,550583,1,-1,2023-01-10_18h22.35.699,Moral_Emotion_Task,2022.2.4,164.02611951885342,
刘芸,刘芸喂侄女米粉。小女孩吃下米粉后,刘芸喂侄女米粉这种行为：,36,badPsadE,materials/situations/36.PNG,materials/sadreason/36.PNG,materials/badpropose/36.PNG,materials/sadending/36.PNG,0,33,33,33,,,,,408.18406790000154,408.18406790000154,space,2.345164100002876,410.54437269999835,410.54437269999835,space,3.320986400001857,413.88130140000067,413.88130140000067,space,1.260329600001569,415.1534047999994,418.1579763000009,420.45970730000045,420.45970730000045,420.45970730000045,420.45970730000045,1.6093750000000004,1.189567100002023,421.65499270000146,421.65499270000146,421.65499270000146,421.65499270000146,None,,,550583,1,-1,2023-01-10_18h22.35.699,Moral_Emotion_Task,2022.2.4,164.02611951885342,
苏珍,苏珍把学生分到非过敏体质班。这个学生,苏珍把学生分到非过敏体质班这种行为：,28,goodPhappyE,materials/situations/28.PNG,materials/happyreason/28.PNG,materials/goodpropose/28.PNG,materials/happyending/28.PNG,0,34,34,34,,,,,421.65499270000146,421.65499270000146,space,1.867532600001141,423.5349016,423.5349016,space,0.4139377000028617,423.9667469999986,423.9667469999986,space,1.1488671000006434,425.12427279999974,428.13338120000117,430.43185150000136,430.43185150000136,430.43185150000136,430.43185150000136,6.0625,1.3203315999999177,431.7598187000003,431.7598187000003,431.7598187000003,431.7598187000003,None,,,550583,1,-1,2023-01-10_18h22.35.699,Moral_Emotion_Task,2022.2.4,164.02611951885342,
杨乐,"杨乐跳过这一段铁轨的工作。这段铁轨开始运营,",杨乐跳过这一段铁轨工作这种行为是：,17,goodPsadE,materials/situations/17.PNG,materials/sadreason/17.PNG,materials/goodpropose/17.PNG,materials/sadending/17.PNG,0,35,35,35,,,,,431.7598187000003,431.7598187000003,space,1.0018715000005614,432.7763335999989,432.7763335999989,space,1.0031028000012157,433.79641059999994,433.79641059999994,space,1.1213295999987167,434.92370110000047,437.9281015000015,440.23321569999825,440.23321569999825,440.23321569999825,440.23321569999825,2.515625,3.0741697999983444,443.31534399999873,443.31534399999873,443.31534399999873,443.31534399999873,None,437.9281015000015,,550583,1,-1,2023-01-10_18h22.35.699,Moral_Emotion_Task,2022.2.4,164.02611951885342,
徐雷,徐雷让女朋友过桥。徐雷的女朋友,徐雷让女朋友过桥这种行为是：,4,goodPhappyE,materials/situations/4.PNG,materials/happyreason/4.PNG,materials/goodpropose/4.PNG,materials/happyending/4.PNG,0,36,36,36,,,,,443.31534399999873,443.31534399999873,space,0.8060662999996566,444.1348265000015,444.1348265000015,space,0.9904937999999675,445.14073369999824,445.14073369999824,space,0.6087167999976373,445.7608919999984,448.7695786000004,451.06962439999916,451.06962439999916,451.06962439999916,451.06962439999916,6.916666666666667,2.377309100000275,453.45360730000175,453.45360730000175,453.45360730000175,453.45360730000175,None,,,550583,1,-1,2023-01-10_18h22.35.699,Moral_Emotion_Task,2022.2.4,164.02611951885342,
孙丽,孙丽没有提醒老人。老人走过去，,孙丽没有提醒老人这种行为：,46,goodPsadE,materials/situations/46.PNG,materials/sadreason/46.PNG,materials/goodpropose/46.PNG,materials/sadending/46.PNG,0,37,37,37,,,,,453.45360730000175,453.45360730000175,space,1.60334199999852,455.07517200000075,455.07517200000075,space,1.7225184999988414,456.8116177000011,456.8116177000011,space,1.9656070999990334,458.78946540000106,461.7997398000007,464.0973097999995,464.0973097999995,464.0973097999995,464.0973097999995,2.9583333333333335,1.214039700000285,465.31411300000036,465.31411300000036,465.31411300000036,465.31411300000036,None,,,550583,1,-1,2023-01-10_18h22.35.699,Moral_Emotion_Task,2022.2.4,164.02611951885342,
