leftori,rightori,same,corrAns,angle,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr_txt_1.started,instr_key_1.started,instr_key_1.keys,instr_key_1.rt,image_L_3.started,image_R_3.started,instr_txt_2.started,instr_key_2.started,mini_pause_2.started,image_L.started,image_R.started,response.started,main_instr.started,trial_count.started,response.keys,response.corr,response.rt,mini_pause.started,end_txt.started,end_key.started,session,participant,date,expName,psychopyVersion,frameRate,
0,225,y,m,225,1,3,19,11,,,,,,,,,,757.7874849,757.7874849,757.7874849,757.7874849,757.7874849,n,0,29.139694800000143,786.9435993000006,,,001,,2024-01-09_11h35.28.464,MentalRot,2022.2.4,163.51037146736073,
0,45,y,m,45,1,4,20,3,,,,,,,,,,787.4526858999998,787.4526858999998,787.4526858999998,787.4526858999998,787.4526858999998,n,0,11.128947799999878,798.5930149000014,,,001,,2024-01-09_11h35.28.464,MentalRot,2022.2.4,163.51037146736073,
0,315,y,m,315,1,5,21,15,,,,,,,,,,799.1021557000022,799.1021557000022,799.1021557000022,799.1021557000022,799.1021557000022,n,0,0.7680768999998691,799.8823842999991,,,001,,2024-01-09_11h35.28.464,MentalRot,2022.2.4,163.51037146736073,
0,90,n,n,90,1,6,22,4,,,,,,,,,,800.3930562000023,800.3930562000023,800.3930562000023,800.3930562000023,800.3930562000023,n,1,10.755557400003454,811.1562918000018,,,001,,2024-01-09_11h35.28.464,MentalRot,2022.2.4,163.51037146736073,
0,180,y,m,180,1,7,23,9,,,,,,,,,,811.6651024999992,811.6651024999992,811.6651024999992,811.6651024999992,811.6651024999992,n,0,0.9460641000005126,812.6238197000021,,,001,,2024-01-09_11h35.28.464,MentalRot,2022.2.4,163.51037146736073,
0,270,y,m,270,1,8,24,13,,,,,,,,,,813.1257087000013,813.1257087000013,813.1257087000013,813.1257087000013,813.1257087000013,n,0,0.4489968999987468,813.5856793999992,,,001,,2024-01-09_11h35.28.464,MentalRot,2022.2.4,163.51037146736073,
0,135,y,m,135,1,9,25,7,,,,,,,,,,814.1013970000022,814.1013970000022,814.1013970000022,814.1013970000022,814.1013970000022,n,0,0.44284020000122837,814.5573208000023,,,001,,2024-01-09_11h35.28.464,MentalRot,2022.2.4,163.51037146736073,
0,0,n,n,0,1,10,26,0,,,,,,,,,,815.0643554000017,815.0643554000017,815.0643554000017,815.0643554000017,815.0643554000017,n,1,0.012368100000458071,815.0959007999991,,,001,,2024-01-09_11h35.28.464,MentalRot,2022.2.4,163.51037146736073,
0,0,y,m,0,1,11,27,1,,,,,,,,,,815.6099524000019,815.6099524000019,815.6099524000019,815.6099524000019,815.6099524000019,n,0,1.0306330000021262,816.6464693000016,,,001,,2024-01-09_11h35.28.464,MentalRot,2022.2.4,163.51037146736073,
0,225,n,n,225,1,12,28,10,,,,,,,,,,817.1616868000019,817.1616868000019,817.1616868000019,817.1616868000019,817.1616868000019,n,1,1.0372423000007984,818.2121722000011,,,001,,2024-01-09_11h35.28.464,MentalRot,2022.2.4,163.51037146736073,
